cluster_file,voxel_size,vol_voxel_filled,n_voxels_filled,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.015,0.276361875,81885,103085,4.5620513550002215
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.018040259151405193,0.45666345143273823,77780,103085,2.596483014000114
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.02169673001665726,0.7318520505622907,71654,103085,1.4424423670006945
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.026094308815904597,1.1185637044344736,62954,103085,0.8279095929992764
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.031383206227714434,1.5932609117124559,51546,103085,0.47832889200071804
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.03774407822333079,2.237940556181181,41620,103085,0.2854933220005478
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.045394196838653124,3.0145388735041485,32227,103085,0.16388536500016926
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.054594871662613426,3.942187360376543,24226,103085,0.10028027899898007
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.06566037554208358,5.102527574816525,18025,103085,0.05812152500038792
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.07896867938385171,6.565380950452936,13332,103085,0.03809080599967274
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.09497436272859426,8.219854753253404,9595,103085,0.02509051499873749
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.1142241410908933,10.475318741672226,7029,103085,0.01827148899974418
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.13737554044175906,13.053522341042338,5035,103085,0.013809509000566322
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.16521935670891194,16.236233236264656,3600,103085,0.011310758000036003
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.19870666745714863,20.367700841786654,2596,103085,0.011617908001426258
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.23898131840260367,25.632292245596982,1878,103085,0.011237777000133065
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.28741899442183,32.43374487181491,1366,103085,0.010544700000536977
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.34567420962707324,39.57003593178438,958,103085,0.01007266199849255
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.4157368215753044,47.13671508518006,656,103085,0.009287538001444773
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.5,57.875,463,103085,0.008354427000085707
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.015,0.28077974999999994,83194,101210,4.482361800000945
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.018040259151405193,0.464119900176883,79050,101210,2.373081671001273
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.02169673001665726,0.7490825528273225,73341,101210,1.3682535600000847
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.026094308815904597,1.1383749718748974,64069,101210,0.7865551189988764
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.031383206227714434,1.6296413892099448,52723,101210,0.4711092470006406
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.03774407822333079,2.2185830693905704,41260,101210,0.2800600039990968
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.045394196838653124,2.974222795231883,31796,101210,0.15306716000122833
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.054594871662613426,3.852362898107582,23674,101210,0.09371990200088476
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.06566037554208358,4.900974197103939,17313,101210,0.05887361200075247
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.07896867938385171,6.27434133586265,12741,101210,0.049801724999269936
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.09497436272859426,7.842915087653457,9155,101210,0.030567492000045604
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.1142241410908933,9.850883039188137,6610,101210,0.02144588000010117
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.13737554044175906,12.371679962552937,4772,101210,0.015627421998942737
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.16521935670891194,15.708555656086054,3483,101210,0.01308557800075505
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.19870666745714863,19.496816868967578,2485,101210,0.010755903998870053
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.23898131840260367,24.240123018200343,1776,101210,0.009568998000759166
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.28741899442183,30.15436016632865,1270,101210,0.008895614000721253
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.34567420962707324,38.12436656058141,923,101210,0.008801960999335279
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.4157368215753044,46.633731844941856,649,101210,0.00800915400031954
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.5,57.625,461,101210,0.008691406999787432
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.015,0.270516375,80153,100102,4.243789868000022
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.018040259151405193,0.4491482904937577,76500,100102,2.4299191199988854
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.02169673001665726,0.7206476279275903,70557,100102,1.4277080680003564
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.026094308815904597,1.1220817591010241,63152,100102,0.7983504220010218
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.031383206227714434,1.592951816746462,51536,100102,0.4696668340002361
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.03774407822333079,2.210678762284404,41113,100102,0.2720659730002808
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.045394196838653124,2.923336608271066,31252,100102,0.15909496000131185
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.054594871662613426,3.8557801330852053,23695,100102,0.09718407099899196
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.06566037554208358,4.953627186225485,17499,100102,0.060057233000406995
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.07896867938385171,6.292069637259013,12777,100102,0.040018506999331294
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.09497436272859426,7.982554100137073,9318,100102,0.026825222999832476
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.1142241410908933,10.089331040136715,6770,100102,0.019177197000317392
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.13737554044175906,12.73982299580577,4914,100102,0.014985202999014291
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.16521935670891194,16.195642653173994,3591,100102,0.012206673998662154
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.19870666745714863,20.242168016875798,2580,100102,0.010318516000552336
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.23898131840260367,25.700535835175252,1883,100102,0.009137056000326993
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.28741899442183,32.243796146357724,1358,100102,0.00899081399984425
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.34567420962707324,38.950463344125964,943,100102,0.008963367999967886
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.4157368215753044,49.00493854892195,682,100102,0.008809513999949559
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.5,58.75,470,100102,0.008167906000380754
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.015,0.25389112499999994,75227,95462,3.9525633819994255
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.018040259151405193,0.4195632155160055,71461,95462,2.3083263899989106
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.02169673001665726,0.673102881013706,65902,95462,1.297216570999808
