cluster_file,rmax,n_slices,vol_slice,n_slices_used,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.05,30,2.4194628796000197,30,105254,0.9746990610001376
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.060840578869549786,30,2.643654767816666,30,105254,0.9138531139997212
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.07403152074363813,30,2.906032570149995,30,105254,0.8427106549988821
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.09008241153272054,30,3.3408058519000066,30,105254,0.8621397899987642
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.10961332127231452,30,3.8699564115166774,30,105254,0.8050067250005668
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.133378758360431,30,4.422643330699985,30,105254,0.7780768200009334
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.16229681735100848,30,5.323636430249991,30,105254,0.7575429680000525
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.19748464632641896,30,6.5636117170833375,30,105254,0.7420964639986778
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.24030160400695275,30,8.144860632050015,30,105254,0.7016486720003741
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.2924017738212865,30,10.29471109891667,30,105254,0.6879794109991053
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.3557978636354049,30,12.571095831400045,30,105254,0.6686632460005058
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.4329389596825433,30,14.836791518133357,30,105254,0.6756937229984032
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.5268051384453322,30,16.747019602183368,30,105254,0.6458105679994333
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.6410225914893466,30,18.315922931900033,30,105254,0.6393138980001822
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.7800037106934158,30,19.981221885433353,30,105254,0.638246540000182
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.9491175455796848,30,21.811017868866756,30,105254,0.6331411270002718
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.1548972177662866,30,23.072587900800105,30,105254,0.6229063320006389
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.4052923052746675,30,24.837669377983467,30,105254,0.6282065319992398
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.7099759466766964,30,26.297178458450183,30,105254,0.6463082689988369
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,2.080718528976332,30,27.714779325283455,30,105254,0.6474951630007126
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,2.5318423953503633,30,28.829366594216776,30,105254,0.6528068119987438
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,3.0807751387916715,30,30.283063106633456,30,105254,0.6436537399986264
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,3.748722856220058,30,31.511430847816907,30,105254,0.6167655640001612
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,4.561489371878808,30,32.51865845403341,30,105254,0.6237411860001885
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,5.550473077848112,30,34.207785886716934,30,105254,0.6135929069987469
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,6.753879901122618,30,35.5038443792336,30,105254,0.6183942549996573
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,8.218199255994355,30,36.35594939990043,30,105254,0.6086802959998749
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,10.0,30,36.821360225733834,30,105254,0.6209810910004308
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.05,30,2.51416664273333,30,104017,0.8837861629999679
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.060840578869549786,30,2.7269292522333046,30,104017,0.8568048969991651
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.07403152074363813,30,2.9848080944666373,30,104017,0.8325097040014953
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.09008241153272054,30,3.4698022386999794,30,104017,0.8025890349999827
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.10961332127231452,30,3.9398148012999723,30,104017,0.7615400689992384
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.133378758360431,30,4.702628831966679,30,104017,0.7510335450006096
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.16229681735100848,30,5.602401609966633,30,104017,0.7171603810002125
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.19748464632641896,30,6.744557830566567,30,104017,0.7071712689994456
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.24030160400695275,30,8.153669699233214,30,104017,0.6898985150000954
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.2924017738212865,30,9.79602920596653,30,104017,0.6745466709999164
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.3557978636354049,30,12.269903222299808,30,104017,0.6718384839987266
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.4329389596825433,30,14.690585585733158,30,104017,0.672058599000593
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.5268051384453322,30,17.018950647799866,30,104017,0.6324468109996815
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.6410225914893466,30,19.330669598899853,30,104017,0.631694180001432
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.7800037106934158,30,21.412981249633127,30,104017,0.6245869169997604
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.9491175455796848,30,23.20469912836638,30,104017,0.6208448979996319
