cluster_file,voxel_size,vol_voxel,n_voxels,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.01,0.08839600000000002,88396,104017,0.07288597799924901
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.011559121134605051,0.13446772251715639,87065,104017,0.07466957100041327
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.013361328140447326,0.20347361623618163,85302,104017,0.07664675700107182
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.01544452104946379,0.3040504876457884,82532,104017,0.07818277400110674
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.01785250896767095,0.4493015524714546,78966,104017,0.08145503599916992
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.02063593137139315,0.6485277836170219,73800,104017,0.07837329199901433
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.023853323044733008,0.9126822073157883,67247,104017,0.07674899899939192
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.027572345053693506,1.2403722510492312,59174,104017,0.07707961200139835
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.031871207644077165,1.632391183854502,50423,104017,0.07609999499982223
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.03684031498640387,2.0888,41776,104017,0.08134162200076389
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.042584166356484814,2.63514418145951,34124,104017,0.07852128900049138
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.0492235537330781,3.287107182179428,27561,104017,0.08067167199988035
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.05689810202763908,4.035119700460815,21906,104017,0.07937910900000134
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.06576920536665974,4.936194841407825,17351,104017,0.08008091199917544
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.07602342117599367,5.97076155255536,13589,104017,0.08005185999900277
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.08787639344404101,7.199314123613839,10609,104017,0.08039448500130675
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.10157738766918833,8.636113283406281,8240,104017,0.07901183099966147
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.11741453286048854,10.312718632704351,6371,104017,0.08120586299992283
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.13572088082974532,12.199999999999996,4880,104017,0.08054812900081743
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.1568814102006323,14.68387838777769,3803,104017,0.07579313600035675
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.1813411224276773,17.424852484177435,2922,104017,0.07627033899916569
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.20961440008267682,20.639786471132762,2241,104017,0.07583524800065788
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.24229582421132284,24.949817739119712,1754,104017,0.07637475399860705
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.28007267824676524,28.977240738172487,1319,104017,0.07552266200036684
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.32373940143476265,34.20166196909582,1008,104017,0.07638886300082959
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.3742142957228954,41.18922961624596,786,104017,0.07441181800095364
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.4325588374561865,48.56091021521433,600,104017,0.07539583700054209
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.5,56.875,455,104017,0.07612536399938108
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.01,0.08706600000000002,87066,103085,0.07285589599996456
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.011559121134605051,0.13246147923283105,85766,103085,0.07334587999866926
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.013361328140447326,0.20020094031444427,83930,103085,0.07333505499991588
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.01544452104946379,0.2989738922406619,81154,103085,0.07484467499853054
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.01785250896767095,0.4416373781283316,77619,103085,0.07607326499964984
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.02063593137139315,0.6370159760758526,72490,103085,0.07398350100083917
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.023853323044733008,0.8965449945851316,66058,103085,0.07613297700117982
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.027572345053693506,1.219683309761071,58187,103085,0.07895080799971765
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.031871207644077165,1.6106035221379424,49750,103085,0.07773590999931912
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.03684031498640387,2.0689,41378,103085,0.07695581799998763
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.042584166356484814,2.6091201634911636,33787,103085,0.07509533200027363
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.0492235537330781,3.2645657919021556,27372,103085,0.07849581799928274
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.05689810202763908,4.016699542967612,21806,103085,0.08004084499953024
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.06576920536665974,4.921685825390776,17300,103085,0.08057545500014385
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.07602342117599367,5.99097312304749,13635,103085,0.07998881599996821
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.08787639344404101,7.22577969537564,10648,103085,0.0907431790001283
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.10157738766918833,8.712622539436458,8313,103085,0.07535589799954323
