cluster_file,voxel_size,vol_voxel,n_voxels,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.01,0.09081800000000001,90818,105254,0.08420511499934946
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.011770378179487158,0.14574286592520208,89375,105254,0.08150797700000112
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.01385418024881474,0.2318005858162958,87171,105254,0.0835602219995053
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.016306894089533095,0.36363311883888305,83859,105254,0.08431016000031377
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.019193831036664843,0.5596538041057166,79147,105254,0.08453301900044607
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.022591865001472325,0.8347661407169432,72395,105254,0.08868184399943857
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.026591479484724942,1.1976768730861544,63696,105254,0.0842447209997772
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.03129917698872869,1.627747126722156,53087,105254,0.09234353700048814
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.03684031498640387,2.1559500000000003,43119,105254,0.08894849100033753
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.04336244396414017,2.7902726476600073,34222,105254,0.08599064199916029
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.051039236424475005,3.5397247916091596,26623,105254,0.08686112299983506
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.06007511147083267,4.478039588176755,20654,105254,0.08611118600128975
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.07071067811865475,5.55962706707923,15725,105254,0.08325816499927896
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.08322914227845538,6.930536485640148,12021,105254,0.08736159699947166
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.09796384801717632,8.521526608933767,9064,105254,0.08587848599927383
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.11530715390799683,10.412773828523816,6792,105254,0.08634752999932971
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.13572088082974532,12.834999999999996,5134,105254,0.0838372830003209
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.1597486094219211,15.487472661534051,3799,105254,0.09492006899927219
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.18803015465431966,18.826767475185253,2832,105254,0.08715340999879118
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.22131860294287997,22.841167358110834,2107,105254,0.08394085500003712
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.26050036547934563,27.824651839690635,1574,105254,0.08457060000000638
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.3066187817586519,34.47683901849105,1196,105254,0.08400098700076342
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.3609019018232971,41.55466417860463,884,105254,0.08113302099991415
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.4247951870156353,48.215803431548004,629,105254,0.08284681599980104
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.5,59.875,479,105254,0.0831460800000059
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.01,0.08839600000000002,88396,104017,0.08259735300089233
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.011770378179487158,0.1419319447764782,87038,104017,0.08160444499844743
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.01385418024881474,0.2250038036600001,84615,104017,0.08155597699987993
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.016306894089533095,0.3524499445405313,81280,104017,0.08224354800040601
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.019193831036664843,0.5417710736095088,76618,104017,0.08304852000037499
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.022591865001472325,0.8054089393319672,69849,104017,0.08583987200108822
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.026591479484724942,1.1427532649116277,60775,104017,0.0876469740014727
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.03129917698872869,1.5724024366147191,51282,104017,0.0843149229986011
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.03684031498640387,2.0888,41776,104017,0.08871251699929417
