cluster_file,rmax,n_slices,vol_slice,n_slices_used,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.05,30,2.4194628796000197,30,105254,0.8993910970002617
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.05930067540220754,30,2.615054256899998,30,105254,0.8446265379998295
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.07033140206315962,30,2.8449944679500025,30,105254,0.845902128000489
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.08341399288659158,30,3.14393969426668,30,105254,0.8161084989997107
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.09893012232339628,30,3.6136295974333454,30,105254,0.767900069999996
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.1173324614280082,30,4.010973312233345,30,105254,0.7742727849999937
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.13915788418568703,30,4.549285585649984,30,105254,0.7806987229996594
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.16504313039506832,30,5.398825142533339,30,105254,0.7266940139998042
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.19574338205844316,30,6.349431368099989,30,105254,0.7208378779996565
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.23215429523156061,30,7.782385449666676,30,105254,0.688212146999831
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.27533813009510066,30,9.363551094733355,30,105254,0.6752837220001311
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.32655474157240716,30,11.508972353783392,30,105254,0.6540222940002423
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.38729833462074165,30,13.60458066436666,30,105254,0.6407817990002513
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.4593410565032031,30,15.451978234200007,30,105254,0.628599325000323
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.5447846978120705,30,16.967539810883338,30,105254,0.6136004650006726
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.646122010580866,30,18.347941727050028,30,105254,0.6173464949997651
